,time,temp_c,wind_kph,precip_mm,humidity,cloud,will_it_rain
0,2024-01-22 00:00,6.0,35.3,0.01,64,52,0
1,2024-01-22 01:00,5.8,36.7,0.0,60,17,0
2,2024-01-22 02:00,5.6,36.4,0.0,61,11,0
3,2024-01-22 03:00,5.5,35.6,0.0,61,8,0
4,2024-01-22 04:00,5.5,35.6,0.0,61,11,0
5,2024-01-22 05:00,5.7,36.4,0.0,62,56,0
6,2024-01-22 06:00,6.0,37.4,0.0,62,95,0
7,2024-01-22 07:00,6.4,36.4,0.0,59,97,0
8,2024-01-22 08:00,6.4,33.8,0.0,58,97,0
9,2024-01-22 09:00,6.8,33.8,0.0,56,95,0
10,2024-01-22 10:00,7.2,36.4,0.0,53,84,0
11,2024-01-22 11:00,7.8,38.5,0.0,50,35,0
12,2024-01-22 12:00,8.3,38.9,0.0,46,2,0
13,2024-01-22 13:00,8.7,37.8,0.0,43,0,0
14,2024-01-22 14:00,8.6,37.4,0.0,44,0,0
15,2024-01-22 15:00,8.4,36.0,0.0,46,0,0
16,2024-01-22 16:00,8.0,34.6,0.0,50,0,0
17,2024-01-22 17:00,7.0,31.3,0.0,54,0,0
18,2024-01-22 18:00,5.8,28.1,0.0,58,0,0
19,2024-01-22 19:00,5.6,26.6,0.0,60,0,0
20,2024-01-22 20:00,5.5,24.5,0.0,61,0,0
21,2024-01-22 21:00,5.4,21.2,0.0,62,0,0
22,2024-01-22 22:00,5.1,18.7,0.0,64,0,0
23,2024-01-22 23:00,4.7,16.9,0.0,66,0,0
24,2024-01-23 00:00,4.7,17.3,0.0,66,0,0
25,2024-01-23 01:00,4.4,14.8,0.0,69,0,0
26,2024-01-23 02:00,4.0,13.0,0.0,71,0,0
27,2024-01-23 03:00,3.9,13.0,0.0,72,0,0
28,2024-01-23 04:00,3.6,12.6,0.0,73,0,0
29,2024-01-23 05:00,3.3,12.2,0.0,74,0,0
30,2024-01-23 06:00,3.2,11.2,0.0,75,0,0
31,2024-01-23 07:00,3.2,10.8,0.0,75,0,0
32,2024-01-23 08:00,3.3,9.4,0.0,75,0,0
33,2024-01-23 09:00,4.8,7.6,0.0,68,0,0
34,2024-01-23 10:00,6.5,7.2,0.0,62,0,0
35,2024-01-23 11:00,7.8,6.5,0.0,56,0,0
36,2024-01-23 12:00,9.1,6.8,0.0,51,0,0
37,2024-01-23 13:00,10.1,4.7,0.0,47,0,0
38,2024-01-23 14:00,10.8,5.8,0.0,46,0,0
39,2024-01-23 15:00,11.1,6.8,0.0,46,0,0
40,2024-01-23 16:00,10.9,9.0,0.0,47,0,0
41,2024-01-23 17:00,9.9,10.4,0.0,53,0,0
42,2024-01-23 18:00,7.9,10.4,0.0,61,0,0
43,2024-01-23 19:00,7.2,10.8,0.0,66,0,0
44,2024-01-23 20:00,6.7,10.8,0.0,69,0,0
45,2024-01-23 21:00,6.2,11.2,0.0,72,0,0
46,2024-01-23 22:00,5.7,11.5,0.0,74,0,0
47,2024-01-23 23:00,5.4,12.2,0.0,75,0,0
48,2024-01-24 00:00,5.1,13.0,0.0,76,0,0
49,2024-01-24 01:00,5.0,12.2,0.0,78,0,0
50,2024-01-24 02:00,5.0,12.2,0.0,75,0,0
51,2024-01-24 03:00,5.0,12.6,0.0,72,0,0
52,2024-01-24 04:00,5.0,14.8,0.0,70,0,0
53,2024-01-24 05:00,5.1,16.2,0.0,71,0,0
54,2024-01-24 06:00,5.2,17.3,0.0,73,4,0
55,2024-01-24 07:00,5.7,19.1,0.0,72,2,0
56,2024-01-24 08:00,6.1,20.5,0.0,71,0,0
57,2024-01-24 09:00,7.5,20.5,0.0,66,0,0
58,2024-01-24 10:00,9.1,27.4,0.0,57,6,0
59,2024-01-24 11:00,10.1,28.8,0.0,54,3,0
60,2024-01-24 12:00,10.4,29.9,0.0,56,51,0
61,2024-01-24 13:00,10.3,28.8,0.0,57,56,0
62,2024-01-24 14:00,10.2,26.6,0.0,57,15,0
63,2024-01-24 15:00,10.1,26.3,0.0,57,11,0
64,2024-01-24 16:00,9.7,24.5,0.0,56,9,0
65,2024-01-24 17:00,9.2,20.2,0.0,58,13,0
66,2024-01-24 18:00,8.3,16.6,0.0,62,9,0
67,2024-01-24 19:00,7.4,14.4,0.0,64,0,0
68,2024-01-24 20:00,6.8,13.0,0.0,66,0,0
69,2024-01-24 21:00,6.4,11.5,0.0,67,0,0
70,2024-01-24 22:00,6.1,11.2,0.0,68,0,0
71,2024-01-24 23:00,5.8,11.2,0.0,68,6,0
72,2024-01-25 00:00,5.8,9.0,0.0,70,0,0
73,2024-01-25 01:00,5.5,7.9,0.0,71,3,0
74,2024-01-25 02:00,5.4,8.3,0.0,71,6,0
75,2024-01-25 03:00,5.4,7.2,0.0,70,14,0
76,2024-01-25 04:00,5.4,5.8,0.0,69,12,0
77,2024-01-25 05:00,5.4,6.8,0.0,67,10,0
78,2024-01-25 06:00,5.4,7.2,0.0,63,6,0
79,2024-01-25 07:00,5.6,7.6,0.0,59,3,0
80,2024-01-25 08:00,5.9,6.5,0.0,54,5,0
81,2024-01-25 09:00,7.5,5.0,0.0,48,6,0
82,2024-01-25 10:00,9.1,5.8,0.0,41,7,0
83,2024-01-25 11:00,10.9,6.8,0.0,36,5,0
84,2024-01-25 12:00,12.3,6.5,0.0,34,8,0
85,2024-01-25 13:00,13.4,6.8,0.0,33,11,0
86,2024-01-25 14:00,13.9,6.1,0.0,33,16,0
87,2024-01-25 15:00,14.2,6.5,0.0,34,22,0
88,2024-01-25 16:00,13.9,7.9,0.0,37,20,0
89,2024-01-25 17:00,12.5,7.9,0.0,43,15,0
90,2024-01-25 18:00,10.3,7.2,0.0,49,15,0
91,2024-01-25 19:00,9.9,6.8,0.0,53,14,0
92,2024-01-25 20:00,9.7,5.8,0.0,56,16,0
93,2024-01-25 21:00,9.7,9.7,0.0,55,28,0
94,2024-01-25 22:00,9.2,13.3,0.0,56,17,0
95,2024-01-25 23:00,9.0,13.3,0.0,64,15,0
96,2024-01-26 00:00,9.0,8.6,0.0,60,15,0
97,2024-01-26 01:00,8.9,9.7,0.0,62,0,0
98,2024-01-26 02:00,8.7,10.1,0.0,65,0,0
99,2024-01-26 03:00,8.4,9.4,0.0,68,0,0
100,2024-01-26 04:00,8.2,9.0,0.0,69,0,0
101,2024-01-26 05:00,7.8,6.8,0.0,71,0,0
102,2024-01-26 06:00,7.6,8.3,0.0,72,0,0
103,2024-01-26 07:00,7.7,9.4,0.0,72,2,0
104,2024-01-26 08:00,7.7,9.7,0.0,72,2,0
105,2024-01-26 09:00,9.2,7.2,0.0,67,5,0
106,2024-01-26 10:00,10.9,4.3,0.0,61,5,0
107,2024-01-26 11:00,12.4,4.0,0.0,56,6,0
108,2024-01-26 12:00,13.4,4.3,0.0,51,6,0
109,2024-01-26 13:00,14.2,4.7,0.0,46,7,0
110,2024-01-26 14:00,14.7,5.8,0.0,42,6,0
111,2024-01-26 15:00,14.9,7.2,0.0,40,4,0
112,2024-01-26 16:00,14.7,8.6,0.0,40,3,0
113,2024-01-26 17:00,13.7,5.0,0.0,45,2,0
114,2024-01-26 18:00,11.7,2.9,0.0,52,0,0
115,2024-01-26 19:00,11.1,5.8,0.0,56,0,0
116,2024-01-26 20:00,10.3,8.6,0.0,61,0,0
117,2024-01-26 21:00,9.6,10.1,0.0,66,0,0
118,2024-01-26 22:00,9.1,9.4,0.0,66,0,0
119,2024-01-26 23:00,8.8,8.6,0.0,64,0,0
120,2024-01-27 00:00,7.8,7.2,0.0,60,0,0
121,2024-01-27 01:00,7.6,6.8,0.0,60,2,0
122,2024-01-27 02:00,7.3,6.8,0.0,60,9,0
123,2024-01-27 03:00,7.3,7.9,0.0,59,8,0
124,2024-01-27 04:00,7.0,7.6,0.0,59,7,0
125,2024-01-27 05:00,6.8,7.6,0.0,60,6,0
126,2024-01-27 06:00,6.5,7.2,0.0,61,32,0
127,2024-01-27 07:00,6.3,7.2,0.0,61,4,0
128,2024-01-27 08:00,6.3,6.1,0.0,60,16,0
129,2024-01-27 09:00,8.3,6.1,0.0,54,36,0
130,2024-01-27 10:00,10.0,4.0,0.0,47,100,0
131,2024-01-27 11:00,11.6,4.0,0.0,43,98,0
132,2024-01-27 12:00,12.5,6.5,0.0,39,28,0
133,2024-01-27 13:00,13.2,8.6,0.0,37,59,0
134,2024-01-27 14:00,13.9,7.9,0.0,35,43,0
135,2024-01-27 15:00,14.4,6.1,0.0,34,82,0
136,2024-01-27 16:00,14.3,4.3,0.0,36,100,0
137,2024-01-27 17:00,12.9,4.0,0.0,46,15,0
138,2024-01-27 18:00,9.8,0.7,0.0,51,4,0
139,2024-01-27 19:00,9.2,4.7,0.0,50,0,0
140,2024-01-27 20:00,8.7,10.1,0.0,51,0,0
141,2024-01-27 21:00,7.9,13.0,0.0,56,0,0
142,2024-01-27 22:00,8.2,25.2,0.0,49,0,0
143,2024-01-27 23:00,8.0,34.9,0.0,43,0,0
144,2024-01-28 00:00,7.4,36.0,0.0,44,2,0
145,2024-01-28 01:00,6.8,31.7,0.0,49,2,0
146,2024-01-28 02:00,6.3,30.2,0.0,51,9,0
147,2024-01-28 03:00,6.0,29.9,0.0,52,63,0
148,2024-01-28 04:00,6.1,30.2,0.0,51,84,0
149,2024-01-28 05:00,6.4,23.4,0.0,57,65,0
150,2024-01-28 06:00,6.2,18.4,0.0,60,53,0
151,2024-01-28 07:00,5.7,15.5,0.07,72,55,0
152,2024-01-28 08:00,5.2,16.2,1.29,84,100,1
153,2024-01-28 09:00,4.3,18.0,2.32,89,100,1
154,2024-01-28 10:00,4.1,15.8,0.43,89,95,1
155,2024-01-28 11:00,5.1,18.4,0.18,78,74,1
156,2024-01-28 12:00,5.8,16.2,0.2,79,60,1
157,2024-01-28 13:00,7.1,18.7,0.02,71,86,0
158,2024-01-28 14:00,8.2,23.8,0.04,65,71,0
159,2024-01-28 15:00,8.6,25.6,0.01,58,71,0
160,2024-01-28 16:00,7.6,24.8,0.01,61,73,0
161,2024-01-28 17:00,6.0,22.0,0.01,70,73,0
162,2024-01-28 18:00,5.0,17.6,0.01,76,82,0
163,2024-01-28 19:00,4.5,14.0,0.0,76,20,0
164,2024-01-28 20:00,4.1,13.0,0.0,76,17,0
165,2024-01-28 21:00,4.1,15.5,0.0,74,17,0
166,2024-01-28 22:00,4.1,15.8,0.0,72,9,0
167,2024-01-28 23:00,4.1,13.7,0.0,67,8,0
168,2024-01-29 00:00,4.1,14.0,0.0,66,15,0
169,2024-01-29 01:00,3.9,15.5,0.02,72,74,0
170,2024-01-29 02:00,3.6,13.3,0.04,80,81,0
171,2024-01-29 03:00,3.3,13.7,0.45,84,91,1
172,2024-01-29 04:00,3.2,11.9,0.93,89,100,1
173,2024-01-29 05:00,3.0,10.4,0.59,92,99,1
174,2024-01-29 06:00,2.7,10.4,1.21,93,89,1
175,2024-01-29 07:00,2.4,8.6,1.23,94,100,1
176,2024-01-29 08:00,2.4,11.2,0.68,94,100,1
177,2024-01-29 09:00,3.1,14.8,0.07,86,83,0
178,2024-01-29 10:00,5.0,25.2,0.05,62,64,0
179,2024-01-29 11:00,5.3,27.4,0.16,60,86,1
180,2024-01-29 12:00,6.8,29.9,0.09,54,75,1
181,2024-01-29 13:00,8.1,31.7,0.07,53,65,0
182,2024-01-29 14:00,8.2,33.1,0.08,54,52,0
183,2024-01-29 15:00,8.1,31.7,0.03,55,52,0
184,2024-01-29 16:00,7.0,29.2,0.04,59,76,0
185,2024-01-29 17:00,5.6,24.8,0.02,63,84,0
186,2024-01-29 18:00,4.1,21.2,0.0,69,30,0
187,2024-01-29 19:00,3.8,19.8,0.01,71,86,0
188,2024-01-29 20:00,3.5,19.8,0.03,73,72,0
189,2024-01-29 21:00,3.3,19.8,0.01,75,86,0
190,2024-01-29 22:00,3.3,21.6,0.04,74,83,0
191,2024-01-29 23:00,3.0,22.0,0.01,77,79,0
